date,scan_time,ticker,verdict,priority,score,entry_price,stop,target1,target2,gap_pct,rel_vol,catalyst,float_m,short_float,above_vwap,spread_pct,outcome_time,outcome_price,outcome_pct,hit_target1,hit_target2,hit_stop,result,would_profit
2026-03-02,08:10,NVD,WATCH,B,33,7.78,7.72,7.86,7.94,12.02,0.64,news,150.0,0,True,0.129,08:40,7.74,-0.51,False,False,False,NEGATIVE,-0.04
2026-03-02,08:10,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,08:40,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,08:10,TZA,WATCH,B,31,6.46,6.41,6.52,6.59,9.21,0.6,news,150.0,0,True,0.155,08:40,6.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:10,TSDD,WATCH,B,30,9.64,9.57,9.74,9.83,8.01,0.87,news,150.0,0,True,0.311,08:40,9.6,-0.41,False,False,False,NEGATIVE,-0.04
2026-03-02,08:10,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,08:40,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:10,BWIN,WATCH,B,30,23.23,23.06,23.46,23.69,25.84,0.47,news,95.4,7.6,True,0.129,08:40,23.25,0.09,False,False,False,POSITIVE,0.02
2026-03-02,08:10,UVIX,WATCH,B,29,6.88,6.83,6.95,7.02,18.21,0.3,news,150.0,0,True,0.291,08:40,6.89,0.15,False,False,False,POSITIVE,0.01
2026-03-02,08:10,AAL,WATCH,B,20,15.39,15.27,15.54,15.7,10.4,0.32,news,650.2,6.9,True,41.196,08:40,12.27,-20.27,False,False,True,STOPPED,-0.12
2026-03-02,08:10,SLV,WATCH,B,17,85.68,85.04,86.54,87.39,6.49,0.23,news,341.4,0,True,0.7,08:40,85.36,-0.37,False,False,False,NEGATIVE,-0.32
2026-03-02,08:15,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,08:45,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:15,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,08:45,15.695,0.03,False,False,False,POSITIVE,0.01
2026-03-02,08:15,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,08:45,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,08:15,NFLX,WATCH,A,34,88.96,88.29,89.85,90.74,5.13,1.23,news,4192.9,2.0,False,11.803,08:45,95.55,7.41,True,True,False,TARGET2,1.34
2026-03-02,08:15,NVD,WATCH,B,33,7.77,7.71,7.85,7.93,11.88,0.64,news,150.0,0,True,0.257,08:45,7.74,-0.39,False,False,False,NEGATIVE,-0.03
2026-03-02,08:15,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,08:45,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,08:15,TZA,WATCH,B,31,6.46,6.41,6.52,6.59,9.21,0.6,news,150.0,0,True,0.155,08:45,6.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:15,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,08:45,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:15,BWIN,WATCH,B,30,23.23,23.06,23.46,23.69,25.84,0.47,news,95.4,7.6,True,0.129,08:45,23.25,0.09,False,False,False,POSITIVE,0.02
2026-03-02,08:15,TSDD,WATCH,B,30,9.64,9.57,9.74,9.83,8.01,0.87,news,150.0,0,True,0.311,08:45,9.6,-0.41,False,False,False,NEGATIVE,-0.04
2026-03-02,08:15,UVIX,WATCH,B,29,6.89,6.84,6.96,7.03,18.38,0.3,news,150.0,0,True,0.145,08:45,6.95,0.87,False,False,False,POSITIVE,0.06
2026-03-02,08:15,AAL,WATCH,B,20,15.39,15.27,15.54,15.7,10.4,0.32,news,650.2,6.9,True,41.196,08:45,12.27,-20.27,False,False,True,STOPPED,-0.12
2026-03-02,08:15,XLE,WATCH,B,20,58.25,57.81,58.83,59.41,5.81,0.31,news,186.4,0,True,,08:45,58.11,-0.24,False,False,False,NEGATIVE,-0.14
2026-03-02,08:15,SLV,WATCH,B,17,85.28,84.64,86.13,86.99,5.99,0.23,news,341.4,0,True,0.082,08:45,84.44,-0.98,False,False,True,STOPPED,-0.64
2026-03-02,08:20,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,08:50,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:20,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,08:50,15.695,0.03,False,False,False,POSITIVE,0.01
2026-03-02,08:20,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,08:50,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,08:20,NFLX,WATCH,A,34,88.92,88.25,89.81,90.7,5.08,1.23,news,4192.9,2.0,False,11.718,08:50,95.24,7.11,True,True,False,TARGET2,1.34
2026-03-02,08:20,NVD,WATCH,B,33,7.74,7.68,7.82,7.89,11.45,0.64,news,150.0,0,True,0.258,08:50,7.74,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:20,TZA,WATCH,B,31,6.46,6.41,6.52,6.59,9.21,0.6,news,150.0,0,True,0.155,08:50,6.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:20,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,08:50,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,08:20,BWIN,WATCH,B,30,23.23,23.06,23.46,23.69,25.84,0.47,news,95.4,7.6,True,0.129,08:50,23.25,0.09,False,False,False,POSITIVE,0.02
2026-03-02,08:20,TSDD,WATCH,B,30,9.64,9.57,9.74,9.83,8.01,0.87,news,150.0,0,True,0.311,08:50,9.6,-0.41,False,False,False,NEGATIVE,-0.04
2026-03-02,08:20,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,08:50,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:20,UVIX,WATCH,B,29,6.87,6.82,6.94,7.01,18.04,0.3,news,150.0,0,True,0.146,08:50,6.93,0.87,False,False,False,POSITIVE,0.06
2026-03-02,08:20,AAL,WATCH,B,20,15.39,15.27,15.54,15.7,10.4,0.32,news,650.2,6.9,True,41.196,08:50,12.27,-20.27,False,False,True,STOPPED,-0.12
2026-03-02,08:20,XLE,WATCH,B,20,58.25,57.81,58.83,59.41,5.81,0.31,news,186.4,0,True,,08:50,58.07,-0.31,False,False,False,NEGATIVE,-0.18
